col0 method number_of_models_used mcore Dmcore sigma Dsigma mstar Dmstar theta_view Dtheta_view dist av Dav rcore Drcore massenv Dmassenv theta_w_esc Dtheta_w_esc rstar Drstar lstar Dlstar tstar Dtstar mdisk Dmdisk rdisk Drdisk mdotd Dmdotd lbol Dlbol lbol_iso Dlbol_iso lbol_av Dlbol_av t_now Dt_now Source_Name
"" "average model method 2" 63 240.59825 1.75588 0.21151 4.01196 29.95032 1.44790 67.66336 13.89439 3000.0 10.23977 11.13500 0.24819 2.59195 126.06893 2.79806 3.77941e+01 14.09631 7.96818 1.40447 1.29759e+05 2.15430 3.88290e+04 1.18944 9.98344 1.44790 2.62991e+02 1.82644 1.93161e-04 2.37256 1.52970e+05 2.14964 4.89019e+04 1.15809 4.33900e+04 1.11253 2.54557e+05 2.41593 G018.4433-00.0056
"" "average model method 2" 114 376.96168 1.29431 2.04743 1.75089 31.97894 1.46573 58.69533 18.48640 12000.0 23.78476 26.88447 0.09985 1.45123 305.87087 1.30771 1.97536e+01 6.97410 18.83811 1.70168 3.22230e+05 1.42962 3.17011e+04 1.37193 10.65965 1.46573 7.33235e+01 1.68885 1.48438e-03 1.29968 3.93325e+05 1.47955 2.23627e+05 1.19303 1.98248e+05 1.15275 4.14369e+04 1.76485 G018.4614-00.0038
"" "average model method 2" 123 262.18411 1.82568 0.22571 3.60574 28.85254 1.42957 64.74059 15.65943 10900.0 38.67877 22.96230 0.25080 2.54570 169.08160 2.23460 3.28714e+01 10.02285 8.43594 1.54807 1.28911e+05 1.95561 3.76753e+04 1.27092 9.61752 1.42957 2.33790e+02 1.93009 2.20409e-04 2.11642 1.52617e+05 1.92159 5.88063e+04 1.27510 4.35166e+04 1.08990 2.29715e+05 2.41223 G018.7106+00.0002
"" "average model method 2" 9 211.27808 2.03093 0.14677 3.16152 47.37592 1.97229 70.85452 13.01676 2600.0 15.54582 17.35664 0.27920 2.40179 43.32998 2.26903 6.30817e+01 12.70557 9.93621 1.49798 3.07463e+05 3.70461 4.31410e+04 1.13416 15.79197 1.97229 6.04609e+02 2.51611 1.03448e-04 2.03070 3.34287e+05 3.48180 3.26303e+04 1.36346 2.61892e+04 1.05549 4.79181e+05 2.49853 G018.7612+00.2630
"" "average model method 2" 21 117.43341 2.05377 0.71934 5.12266 28.76817 1.66963 59.58418 14.31274 12600.0 13.75060 13.53630 0.09402 3.16999 39.85737 2.58137 4.73121e+01 11.63482 11.42826 1.81122 1.59949e+05 2.21940 3.41630e+04 1.51628 9.58939 1.66963 1.71970e+02 2.58226 3.50514e-04 2.71454 1.89669e+05 2.26132 4.20456e+04 1.23092 3.46518e+04 1.06498 1.22611e+05 3.29341 G019.0035+00.1280
"" "average model method 2" 404 366.66598 1.34869 1.37555 2.00377 36.23772 1.56041 58.35088 20.31075 4600.0 46.61350 65.11404 0.12014 1.58336 275.31523 1.40550 2.41074e+01 9.14516 12.87476 1.64977 3.15221e+05 1.88298 3.81361e+04 1.29125 12.07924 1.56041 9.98017e+01 1.79000 1.12746e-03 1.51473 4.10822e+05 1.76827 2.30736e+05 2.10569 1.62735e+05 1.20370 6.02407e+04 1.88122 G019.0767-00.2882
"" "average model method 2" 804 239.33393 1.87734 0.47544 3.71095 44.97769 1.84698 41.68429 21.05539 4600.0 33.62733 36.33226 0.16510 2.48186 96.84485 2.42785 4.54854e+01 14.17932 11.19462 1.55168 3.30694e+05 2.86719 4.13908e+04 1.29640 14.99256 1.84698 2.52014e+02 2.32936 3.88329e-04 2.37025 3.89029e+05 2.71642 4.52414e+05 3.27666 1.49838e+05 1.49066 1.74828e+05 2.68124 G019.4752+00.1728
"" "average model method 2" 191 309.09752 1.63645 0.24398 3.40558 39.25766 1.68837 65.38182 16.13640 12700.0 42.82624 26.47744 0.26192 2.28568 167.95841 2.10355 3.82182e+01 13.61030 9.37666 1.49144 2.28661e+05 2.70785 4.12407e+04 1.20051 13.08589 1.68837 2.85674e+02 1.84805 2.62349e-04 2.22435 2.65333e+05 2.62185 7.49561e+04 1.33113 5.26943e+04 1.10619 2.47086e+05 2.21793 G019.7281-00.1135
"" "average model method 2" 30 332.74008 1.43734 1.58428 2.04470 48.44062 1.67108 39.68347 9.90634 9300.0 11.89461 14.86631 0.10664 1.68000 209.76324 1.43002 3.12257e+01 10.39129 14.26167 1.40135 5.32217e+05 1.87399 4.13037e+04 1.24598 16.14687 1.67108 1.22853e+02 1.92067 1.33780e-03 1.45232 6.64931e+05 1.82217 2.97552e+05 1.22581 2.61912e+05 1.12977 6.55237e+04 1.96132 G020.0720-00.1421
"" "average model method 2" 524 358.64868 1.38639 1.22354 2.27219 39.83595 1.62182 58.75185 19.68591 12600.0 21.05254 51.01126 0.12599 1.70476 250.68033 1.49948 2.72933e+01 11.01237 12.92954 1.60362 3.55034e+05 1.98943 3.92038e+04 1.29566 13.27865 1.62182 1.16127e+02 1.94904 1.04611e-03 1.66015 4.53303e+05 1.88714 2.10395e+05 1.99596 1.64701e+05 1.25270 6.98874e+04 2.07298 G020.0797-00.1337
"" "average model method 2" 290 366.21704 1.37353 1.47500 2.15691 37.13749 1.52989 60.27860 17.80081 12600.0 15.51476 27.53588 0.11595 1.65587 275.07821 1.41887 2.42078e+01 8.74267 14.39287 1.64072 3.49505e+05 1.65987 3.70119e+04 1.32760 12.37916 1.52989 9.81835e+01 1.86553 1.20395e-03 1.54766 4.41011e+05 1.62011 2.02994e+05 1.25695 1.83270e+05 1.20118 5.79260e+04 2.01292 G020.0809-00.1362
"" "average model method 2" 154 203.66765 1.78010 0.26422 3.92942 30.22303 1.50373 67.92649 15.11478 12600.0 28.54388 21.43302 0.20430 2.57119 99.97477 2.57502 4.06475e+01 12.93310 8.58154 1.55143 1.37699e+05 2.19255 3.79754e+04 1.29485 10.07434 1.50373 2.48452e+02 1.92306 2.13392e-04 2.32197 1.61638e+05 2.17144 4.23931e+04 1.33831 3.29720e+04 1.17950 2.27012e+05 2.47987 G020.3633-00.0136
